No,用法,変換,常体活用型,常体基本形,常体,常体語尾,常体活用形,常体ルール,敬体活用型,敬体基本形,敬体,敬体語尾,敬体活用形,敬体ルール,,,,,,,,,
1,03_受け身可能自発尊敬1,,形容詞・アウオ段,四角い,四角くなれる,,,,,,四角くなれます,,,,,,,,,,,,
2,03_受け身可能自発尊敬2,,形容詞・アウオ段,四角い,四角くなれた,,,,,,四角くなれました,,,,,,,,,,,,
3,04_使役1,,形容詞・アウオ段,四角い,四角くする,,,,,,四角くします,,,,,,,,,,,,
4,04_使役2,,形容詞・アウオ段,四角い,四角くした,,,,,,四角くしました,,,,,,,,,,,,
5,04_使役3,,形容詞・アウオ段,四角い,四角くしやがって,,,,,,四角くしやがりまして,,,,,,,,,,,,
6,04_使役4,,形容詞・アウオ段,四角い,物を四角くする,,,,,,物を四角くします,,,,,,,,,,,,
7,05_打ち消し1,,形容詞・アウオ段,四角い,四角くない,,,,,,四角くありません,,,,,,,,,,,,
8,05_打ち消し2,,形容詞・アウオ段,四角い,四角くなかった,,,,,,四角くありませんでした,,,,,,,,,,,,
9,05_打ち消し3,,形容詞・アウオ段,四角い,四角からぬ,,,,,,四角ではありません,,,,,,,,,,,,
10,06_意思推量1,,形容詞・アウオ段,四角い,四角い,,,,,,四角いです,,,,,,,,,,,,
11,06_意思推量2,,形容詞・アウオ段,四角い,四角くなろう,,,,,,四角くなりましょう,,,,,,,,,,,,
12,06_意思推量3,,形容詞・アウオ段,四角い,四角いだろう,,,,,,四角いでしょう,,,,,,,,,,,,
13,06_意思推量3,,形容詞・アウオ段,四角い,四角かっただろう,,,,,,四角かったでしょう,,,,,,,,,,,,
14,07_打ち消しの意思推量,,形容詞・アウオ段,四角い,四角くなるまい,,,,,,四角くなりますまい,,,,,,,,,,,,
15,08_希望1,,形容詞・アウオ段,四角い,四角くしたい,,,,,,四角くしたいです,,,,,,,,,,,,
16,08_希望2,,形容詞・アウオ段,四角い,四角くしたかった,,,,,,四角くしたかったです,,,,,,,,,,,,
17,08_希望3,,形容詞・アウオ段,四角い,四角くしたがる,,,,,,四角くしたがります,,,,,,,,,,,,
18,08_希望4,,形容詞・アウオ段,四角い,四角くしたがった,,,,,,四角くしたがりました,,,,,,,,,,,,
19,10_完了,,形容詞・アウオ段,四角い,四角かった,,,,,,四角かったです,,,,,,,,,,,,
20,11_様態伝聞1,,形容詞・アウオ段,四角い,四角そう,,,,,,四角そうです,,,,,,,,,,,,
21,11_様態伝聞2,,形容詞・アウオ段,四角い,四角そうだ,,,,,,四角そうです,,,,,,,,,,,,
22,11_様態伝聞3,,形容詞・アウオ段,四角い,四角そうだった,,,,,,四角そうでした,,,,,,,,,,,,
23,11_様態伝聞4,,形容詞・アウオ段,四角い,四角そうである,,,,,,四角そうです,,,,,,,,,,,,
24,12_たとえ推定例示1,,形容詞・アウオ段,四角い,四角いよう,,,,,,四角いようです,,,,,,,,,,,,
25,12_たとえ推定例示2,,形容詞・アウオ段,四角い,四角いようだ,,,,,,四角いようです,,,,,,,,,,,,
26,12_たとえ推定例示3,,形容詞・アウオ段,四角い,四角いようだった,,,,,,四角いようでした,,,,,,,,,,,,
27,12_たとえ推定例示4,,形容詞・アウオ段,四角い,四角いようである,,,,,,四角いようです,,,,,,,,,,,,
28,13_推定1,,形容詞・アウオ段,四角い,四角いらしい,,,,,,四角いらしいです,,,,,,,,,,,,
29,13_推定2,,形容詞・アウオ段,四角い,四角いらしかった,,,,,,四角いらしかったです,,,,,,,,,,,,
30,14_断定1,,形容詞・アウオ段,四角い,四角だ,,,,,,四角です,,,,,,,,,,,,
31,14_断定2,,形容詞・アウオ段,四角い,四角だった,,,,,,四角でした,,,,,,,,,,,,
32,14_断定3,,形容詞・アウオ段,四角い,四角である,,,,,,四角です,,,,,,,,,,,,
33,14_断定4,,形容詞・アウオ段,四角い,四角であった,,,,,,四角でした,,,,,,,,,,,,
34,可能1,,形容詞・アウオ段,四角い,四角くなれる,,,,,,四角くなれます,,,,,,,,,,,,
35,可能2,,形容詞・アウオ段,四角い,四角くなれた,,,,,,四角くなれました,,,,,,,,,,,,
36,サ入り言葉1,,形容詞・アウオ段,四角い,四角くさせる,,,,,,四角くさせます,,,,,,,,,,,,
37,サ入り言葉2,,形容詞・アウオ段,四角い,四角くさせた,,,,,,四角くさせました,,,,,,,,,,,,
38,持続1,,形容詞・アウオ段,四角い,四角くなっている,,,,,,四角くなっています,,,,,,,,,,,,
39,持続2,,形容詞・アウオ段,四角い,四角くなっていた,,,,,,四角くなっていました,,,,,,,,,,,,
40,命令1,,形容詞・アウオ段,四角い,四角くなれ,,,,,,四角くなりなさい,,,,,,,,,,,,
41,命令2,,形容詞・アウオ段,四角い,四角くなれよ,,,,,,四角くなりなさいよ,,,,,,,,,,,,
42,命令3,,形容詞・アウオ段,四角い,四角くなれ！,,,,,,四角くなりなさい！,,,,,,,,,,,,
43,命令4,,形容詞・アウオ段,四角い,四角くなれ。,,,,,,四角くなりなさい。,,,,,,,,,,,,
